group,hours,survival
dse,702,0.015305701225675334
dse,708,0.015305701225675334
dse,714,0.015305701225675334
dse,720,0.015305701225675334
dse,726,0.01452744523114947
dse,732,0.01452744523114947
dse,738,0.014268026566307514
dse,744,0.014268026566307514
dse,750,0.014268026566307514
dse,756,0.014268026566307514
dse,762,0.014268026566307514
dse,768,0.014268026566307514
dse,774,0.014268026566307514
dse,780,0.014268026566307514
dse,786,0.014268026566307514
dse,792,0.013749189236623605
dse,798,0.013749189236623605
dse,804,0.01348977057178165
dse,810,0.01348977057178165
dse,816,0.01348977057178165
dse,822,0.01348977057178165
dse,828,0.01348977057178165
dse,834,0.01348977057178165
dse,840,0.01348977057178165
dse,846,0.013230351906939695
dse,852,0.013230351906939695
dse,858,0.01297093324209774
dse,864,0.01297093324209774
dse,870,0.012711514577255785
dse,876,0.012711514577255785
dse,882,0.01245209591241383
dse,888,0.01245209591241383
dse,894,0.01245209591241383
dse,900,0.01245209591241383
other wikis,0,1.0
other wikis,6,1.0
other wikis,12,1.0
other wikis,18,1.0
other wikis,24,1.0
other wikis,30,1.0
other wikis,36,1.0
other wikis,42,1.0
other wikis,48,1.0
other wikis,54,1.0
other wikis,60,1.0
other wikis,66,1.0
other wikis,72,1.0
other wikis,78,1.0
other wikis,84,1.0
other wikis,90,1.0
other wikis,96,1.0
other wikis,102,1.0
other wikis,108,1.0
other wikis,114,1.0
other wikis,120,1.0
other wikis,126,1.0
other wikis,132,1.0
other wikis,138,1.0
other wikis,144,1.0
other wikis,150,1.0
other wikis,156,1.0
other wikis,162,1.0
other wikis,168,1.0
other wikis,174,1.0
other wikis,180,1.0
other wikis,186,1.0
other wikis,192,1.0
other wikis,198,1.0
other wikis,204,1.0
other wikis,210,1.0
other wikis,216,1.0
other wikis,222,1.0
other wikis,228,1.0
other wikis,234,1.0
other wikis,240,1.0
other wikis,246,1.0
other wikis,252,1.0
other wikis,258,1.0
other wikis,264,1.0
other wikis,270,1.0
other wikis,276,1.0
other wikis,282,1.0
other wikis,288,1.0
other wikis,294,1.0
other wikis,300,1.0
other wikis,306,1.0
other wikis,312,1.0
other wikis,318,1.0
other wikis,324,1.0
other wikis,330,1.0
other wikis,336,1.0
other wikis,342,1.0
other wikis,348,1.0
other wikis,354,1.0
other wikis,360,1.0
other wikis,366,1.0
other wikis,372,1.0
other wikis,378,1.0
other wikis,384,1.0
other wikis,390,1.0
other wikis,396,1.0
other wikis,402,1.0
other wikis,408,1.0
other wikis,414,1.0
other wikis,420,1.0
other wikis,426,1.0
other wikis,432,1.0
other wikis,438,1.0
other wikis,444,1.0
other wikis,450,1.0
other wikis,456,1.0
other wikis,462,1.0
other wikis,468,1.0
other wikis,474,1.0
other wikis,480,1.0
other wikis,486,1.0
other wikis,492,1.0
other wikis,498,1.0
other wikis,504,1.0
other wikis,510,1.0
other wikis,516,1.0
other wikis,522,1.0
other wikis,528,1.0
other wikis,534,1.0
other wikis,540,1.0
other wikis,546,1.0
other wikis,552,1.0
other wikis,558,1.0
other wikis,564,1.0
other wikis,570,1.0
other wikis,576,1.0
other wikis,582,1.0
other wikis,588,1.0
other wikis,594,1.0
other wikis,600,1.0
other wikis,606,1.0
other wikis,612,1.0
other wikis,618,1.0
other wikis,624,1.0
other wikis,630,1.0
other wikis,636,1.0
other wikis,642,1.0
other wikis,648,1.0
other wikis,654,1.0
other wikis,660,1.0
other wikis,666,1.0
other wikis,672,1.0
other wikis,678,1.0
other wikis,684,1.0
other wikis,690,1.0
other wikis,696,1.0
other wikis,702,1.0
other wikis,708,1.0
other wikis,714,1.0
other wikis,720,1.0
other wikis,726,1.0
other wikis,732,1.0
other wikis,738,1.0
other wikis,744,1.0
other wikis,750,1.0
other wikis,756,1.0
other wikis,762,1.0
other wikis,768,1.0
