source,target,weight,first_seen,last_seen
host:api.usaspending.gov,label:ApiNavUpdater,1.0,2026-05-26T14:10:31+00:00,2026-05-26T14:10:31+00:00
host:api.usaspending.gov,label:SandboxVisitor359,1.0,2026-05-26T14:11:30+00:00,2026-05-26T14:11:30+00:00
host:api.usaspending.gov,label:CiteDataUser,2.0,2026-05-26T14:14:08+00:00,2026-05-26T14:27:37+00:00
host:api.usaspending.gov,label:TestUserName,2.0,2026-05-26T14:14:54+00:00,2026-05-26T16:45:55+00:00
host:api.usaspending.gov,label:TrialResearch,2.0,2026-05-26T14:14:57+00:00,2026-05-26T14:52:42+00:00
host:api.usaspending.gov,label:ResearchGuestZZZ,1.0,2026-05-26T14:19:03+00:00,2026-05-26T14:19:03+00:00
host:api.usaspending.gov,label:LinkHelper,5.0,2026-05-26T14:24:01+00:00,2026-05-26T16:33:37+00:00
host:api.usaspending.gov,label:ResearchHelper8,1.0,2026-05-26T14:32:20+00:00,2026-05-26T14:32:20+00:00
host:api.usaspending.gov,label:ResearchUser,3.0,2026-05-26T14:32:21+00:00,2026-05-26T16:23:53+00:00
host:api.usaspending.gov,label:OpenCiteResearcher,2.0,2026-05-26T14:33:53+00:00,2026-05-26T14:41:16+00:00
host:api.usaspending.gov,label:ResearchPlanner77,1.0,2026-05-26T14:38:28+00:00,2026-05-26T14:38:28+00:00
host:api.usaspending.gov,label:AgentValidXYZ,1.0,2026-05-26T14:39:40+00:00,2026-05-26T14:39:40+00:00
host:api.usaspending.gov,label:TmpUser,1.0,2026-05-26T14:52:49+00:00,2026-05-26T14:52:49+00:00
host:api.usaspending.gov,label:ChatRef18913,1.0,2026-05-26T14:54:46+00:00,2026-05-26T14:54:46+00:00
host:api.usaspending.gov,label:AllowedNameZZ,2.0,2026-05-26T14:57:47+00:00,2026-05-26T15:01:15+00:00
host:api.usaspending.gov,label:ResearchTesterX,1.0,2026-05-26T14:59:34+00:00,2026-05-26T14:59:34+00:00
host:api.usaspending.gov,label:[Person12],1.0,2026-05-26T14:59:56+00:00,2026-05-26T14:59:56+00:00
host:api.usaspending.gov,label:SourceHelper7301019,1.0,2026-05-26T15:02:19+00:00,2026-05-26T15:02:19+00:00
host:api.usaspending.gov,label:BridgeResearchZZ77,1.0,2026-05-26T15:08:03+00:00,2026-05-26T15:08:03+00:00
host:api.usaspending.gov,label:HelperAnalyst,4.0,2026-05-26T15:15:22+00:00,2026-05-26T15:24:38+00:00
