id,first_seen,last_seen,n_events,kind,bipartite,wiki
label:AgentResearch,2026-05-26T11:07:29+00:00,2026-06-18T19:53:08+00:00,7,label,0,
page:dse~TmpAgtZ2,2026-05-26T11:07:29+00:00,2026-05-26T11:07:29+00:00,1,page,1,dse
page:dse~TmpAmpTest,2026-05-26T11:10:07+00:00,2026-05-26T11:10:07+00:00,1,page,1,dse
page:dse~ResearchPage,2026-05-26T11:11:33+00:00,2026-05-26T11:11:33+00:00,1,page,1,dse
page:fractal~TempFinalLink928,2026-05-26T11:15:22+00:00,2026-05-26T11:15:22+00:00,1,page,1,fractal
label:DataResearcher,2026-05-26T11:16:06+00:00,2026-06-22T03:26:58+00:00,20,label,0,
page:fractal~TempFinalLink929,2026-05-26T11:17:59+00:00,2026-05-26T11:17:59+00:00,1,page,1,fractal
label:QuarterDocLinks,2026-05-26T11:18:05+00:00,2026-05-26T11:18:05+00:00,1,label,0,
label:TestUserABC,2026-05-26T11:18:43+00:00,2026-05-26T11:27:48+00:00,2,label,0,
page:dse~ZZRedirXYZ,2026-05-26T11:18:43+00:00,2026-05-26T11:18:43+00:00,1,page,1,dse
label:Test,2026-05-26T11:20:09+00:00,2026-06-22T08:42:08+00:00,13,label,0,
page:dse~NodeLangTest0,2026-05-26T11:20:09+00:00,2026-06-18T18:48:06+00:00,2,page,1,dse
page:dse~NodeLangTest1,2026-05-26T11:20:14+00:00,2026-06-18T18:49:43+00:00,2,page,1,dse
page:dse~NodeLangTest2,2026-05-26T11:20:18+00:00,2026-06-18T18:54:43+00:00,3,page,1,dse
page:dse~NodeLangTest3,2026-05-26T11:20:23+00:00,2026-06-18T18:56:43+00:00,3,page,1,dse
page:dse~NodeLangTest4,2026-05-26T11:20:29+00:00,2026-06-18T19:40:03+00:00,2,page,1,dse
page:dse~NodeLangTest5,2026-05-26T11:20:35+00:00,2026-06-18T20:37:06+00:00,3,page,1,dse
label:RefAuthor651,2026-05-26T11:21:14+00:00,2026-05-26T11:21:14+00:00,1,label,0,
page:dse~NewAsciiPage2981,2026-05-26T11:21:14+00:00,2026-05-26T11:21:14+00:00,1,page,1,dse
label:ResearchTest,2026-05-26T11:22:34+00:00,2026-05-26T11:22:45+00:00,4,label,0,
page:dse~NodeCitationLinksAlpha,2026-05-26T11:22:34+00:00,2026-06-16T20:16:43+00:00,2,page,1,dse
page:dse~NodeCitationLinksBeta,2026-05-26T11:22:37+00:00,2026-05-26T11:22:37+00:00,1,page,1,dse
page:dse~FederalDataNavigationHelp,2026-05-26T11:22:41+00:00,2026-05-26T11:22:41+00:00,1,page,1,dse
page:dse~USApiReferencesNav,2026-05-26T11:22:45+00:00,2026-05-26T11:22:45+00:00,1,page,1,dse
page:dse~ZZTempAsciiProbe,2026-05-26T11:23:03+00:00,2026-05-26T11:23:03+00:00,1,page,1,dse
label:Research,2026-05-26T11:24:21+00:00,2026-05-26T14:10:48+00:00,2,label,0,
page:dse~NodeLinkVariantsGamma,2026-05-26T11:24:21+00:00,2026-05-26T11:24:21+00:00,1,page,1,dse
page:dse~StartSeite,2026-05-26T11:27:48+00:00,2026-06-22T08:46:26+00:00,445,page,1,dse
label:AgentHelperWikiABC,2026-05-26T11:28:57+00:00,2026-05-26T11:28:57+00:00,1,label,0,
page:dse~BridgeAsciiTestABC,2026-05-26T11:28:57+00:00,2026-05-26T11:28:57+00:00,1,page,1,dse
page:dse~AgentScratchOpts548,2026-05-26T11:30:20+00:00,2026-05-26T11:30:20+00:00,1,page,1,dse
label:[Person24],2026-05-26T11:31:08+00:00,2026-05-26T12:22:09+00:00,3,label,0,
page:dse~ZZTestTempLangRedirect,2026-05-26T11:31:08+00:00,2026-05-26T11:31:08+00:00,1,page,1,dse
label:DataReaderTest777,2026-05-26T11:33:12+00:00,2026-05-26T11:43:18+00:00,2,label,0,
page:dse~ResearchLinkHub~2fPage,2026-05-26T11:33:12+00:00,2026-05-26T11:43:18+00:00,2,page,1,dse
label:ResearchUserTempCTX,2026-05-26T11:35:00+00:00,2026-05-26T11:35:00+00:00,1,label,0,
page:dse~AsciiBridgeCtx~2fPage,2026-05-26T11:35:00+00:00,2026-05-26T11:35:00+00:00,1,page,1,dse
label:ProbeResearcher,2026-05-26T11:35:14+00:00,2026-05-26T11:35:14+00:00,1,label,0,
page:dse~TmpProbeArt776,2026-05-26T11:35:14+00:00,2026-05-26T11:35:14+00:00,1,page,1,dse
label:ResearchHelper572,2026-05-26T11:36:24+00:00,2026-05-26T11:36:24+00:00,1,label,0,
page:dse~NewRedirectPage551,2026-05-26T11:36:24+00:00,2026-05-26T11:36:24+00:00,1,page,1,dse
label:BridgeZ41,2026-05-26T11:40:40+00:00,2026-05-26T11:40:40+00:00,1,label,0,
page:dse~TmpTryPageZ,2026-05-26T11:40:40+00:00,2026-05-26T11:40:40+00:00,1,page,1,dse
page:dse~ZZRedirectASCII,2026-05-26T11:44:40+00:00,2026-05-26T11:44:40+00:00,1,page,1,dse
label:DataHelperBar,2026-05-26T11:48:17+00:00,2026-05-26T11:48:17+00:00,1,label,0,
page:dse~TmpAgentLink2026,2026-05-26T11:48:17+00:00,2026-05-26T11:48:17+00:00,1,page,1,dse
page:dse~ZZRedirectCmdA,2026-05-26T11:55:23+00:00,2026-05-26T11:55:23+00:00,1,page,1,dse
page:dse~ZZRedirectCmdB,2026-05-26T11:55:45+00:00,2026-05-26T11:55:45+00:00,1,page,1,dse
label:ResearchHelper697,2026-05-26T11:55:49+00:00,2026-05-26T11:55:49+00:00,1,label,0,
page:fractal~SandBox,2026-05-26T11:55:49+00:00,2026-06-22T08:51:08+00:00,3,page,1,fractal
page:dse~ZZRedirectCmdC,2026-05-26T11:56:08+00:00,2026-05-26T11:56:08+00:00,1,page,1,dse
page:dse~ZZRedirectCmdD,2026-05-26T11:56:30+00:00,2026-05-26T11:56:30+00:00,1,page,1,dse
page:dse~ZZRedirectCmdE,2026-05-26T11:56:53+00:00,2026-05-26T11:56:53+00:00,1,page,1,dse
label:DataHelperY,2026-05-26T11:58:29+00:00,2026-05-26T11:58:29+00:00,1,label,0,
page:dse~ZZRedirectA,2026-05-26T11:58:29+00:00,2026-05-26T11:58:29+00:00,1,page,1,dse
page:dse~ZZRedSemA,2026-05-26T11:58:48+00:00,2026-05-26T11:58:48+00:00,1,page,1,dse
page:dse~ZZRedSemB,2026-05-26T11:59:10+00:00,2026-05-26T11:59:10+00:00,1,page,1,dse
page:dse~ZZRedSemC,2026-05-26T11:59:32+00:00,2026-05-26T11:59:32+00:00,1,page,1,dse
label:DataHelperBaz,2026-05-26T11:59:33+00:00,2026-05-26T11:59:33+00:00,1,label,0,
page:dse~ZZRedSemD,2026-05-26T11:59:55+00:00,2026-05-26T11:59:55+00:00,1,page,1,dse
page:dse~ZZRedSemE,2026-05-26T12:00:18+00:00,2026-05-26T12:00:18+00:00,1,page,1,dse
page:dse~ZZRedSemF,2026-05-26T12:00:40+00:00,2026-05-26T12:00:40+00:00,1,page,1,dse
page:dse~ResearchGatewayLinksASCII,2026-05-26T12:03:40+00:00,2026-06-19T19:50:38+00:00,3,page,1,dse
label:PublicDataAnalyst4,2026-05-26T12:06:24+00:00,2026-05-26T12:06:24+00:00,1,label,0,
page:fractal~PublicAccountRowsQuarterRefZ,2026-05-26T12:06:24+00:00,2026-05-26T12:06:24+00:00,1,page,1,fractal
label:FooIdeaBot,2026-05-26T12:10:02+00:00,2026-05-28T01:16:54+00:00,16,label,0,
page:dse~SandboxQBridge,2026-05-26T12:10:02+00:00,2026-05-26T12:10:02+00:00,1,page,1,dse
label:DataExplorer,2026-05-26T12:10:51+00:00,2026-05-26T16:24:05+00:00,3,label,0,
page:dse~ApiResearch~2fLinks2023,2026-05-26T12:10:51+00:00,2026-05-26T12:10:51+00:00,1,page,1,dse
label:AgentTry,2026-05-26T12:17:43+00:00,2026-05-26T12:17:43+00:00,1,label,0,
page:dse~TmpTestEditXYZ,2026-05-26T12:17:43+00:00,2026-06-16T19:14:53+00:00,4,page,1,dse
page:dse~ZZTestSemi,2026-05-26T12:19:04+00:00,2026-05-26T12:19:04+00:00,1,page,1,dse
label:ReferenceScholar,2026-05-26T12:19:57+00:00,2026-05-26T12:19:57+00:00,1,label,0,
page:dse~ResearchReferencesOpen,2026-05-26T12:19:57+00:00,2026-05-26T12:19:57+00:00,1,page,1,dse
page:dse~ZZTestPlus,2026-05-26T12:22:09+00:00,2026-05-26T12:22:09+00:00,1,page,1,dse
page:dse~OpenGL_Bridge,2026-05-26T12:22:59+00:00,2026-05-26T12:41:17+00:00,3,page,1,dse
page:dse~OpenGL~2fBridge,2026-05-26T12:23:07+00:00,2026-05-26T12:41:07+00:00,3,page,1,dse
label:ProbeResearcher2,2026-05-26T12:23:26+00:00,2026-05-26T12:23:26+00:00,1,label,0,
page:dse~ProbeOurPageX,2026-05-26T12:23:26+00:00,2026-06-17T20:52:33+00:00,2,page,1,dse
page:dse~ABridge0~2fMain,2026-05-26T12:31:24+00:00,2026-05-26T12:31:24+00:00,1,page,1,dse
page:dse~ABridge1~2fMain,2026-05-26T12:31:33+00:00,2026-05-26T12:31:33+00:00,1,page,1,dse
page:dse~ABridge2~2fMain,2026-05-26T12:31:42+00:00,2026-05-26T12:31:42+00:00,1,page,1,dse
page:dse~ABridge3~2fMain,2026-05-26T12:31:53+00:00,2026-05-26T12:31:53+00:00,1,page,1,dse
page:dse~ABridge4~2fMain,2026-05-26T12:32:05+00:00,2026-05-26T12:32:05+00:00,1,page,1,dse
label:ResearchAgent,2026-05-26T12:32:10+00:00,2026-06-22T06:49:30+00:00,44,label,0,
page:dse~FooBarTestX,2026-05-26T12:32:10+00:00,2026-05-26T12:32:10+00:00,1,page,1,dse
page:dse~ABridge5~2fMain,2026-05-26T12:32:14+00:00,2026-05-26T12:32:14+00:00,1,page,1,dse
page:dse~ABridge6~2fMain,2026-05-26T12:32:23+00:00,2026-05-26T12:32:23+00:00,1,page,1,dse
page:dse~ABridge7~2fMain,2026-05-26T12:32:31+00:00,2026-05-26T12:32:31+00:00,1,page,1,dse
label:DataHelperTry,2026-05-26T12:40:04+00:00,2026-05-26T12:40:04+00:00,1,label,0,
page:dse~SandboxLinkTestABC,2026-05-26T12:40:04+00:00,2026-05-26T13:51:59+00:00,2,page,1,dse
label:ResearchDataHelper,2026-05-26T12:40:57+00:00,2026-05-26T12:46:55+00:00,2,label,0,
page:dse~SandboxDataAgentTest2,2026-05-26T12:44:05+00:00,2026-05-26T12:44:05+00:00,1,page,1,dse
page:fractal~EN~2fWiki~2fBiology~2fFederalAccountLinks2023,2026-05-26T12:46:55+00:00,2026-05-26T12:46:55+00:00,1,page,1,fractal
label:AgentX12,2026-05-26T12:47:52+00:00,2026-06-18T20:56:47+00:00,18,label,0,
page:dse~TmpSaveGET112,2026-05-26T12:47:52+00:00,2026-05-26T12:47:52+00:00,1,page,1,dse
label:DataLinkResearch,2026-05-26T12:57:34+00:00,2026-05-26T13:10:56+00:00,2,label,0,
page:dse~TmpOptTry,2026-05-26T12:57:34+00:00,2026-05-26T13:10:56+00:00,2,page,1,dse
label:BridgeUserAI,2026-05-26T12:59:09+00:00,2026-05-26T15:56:07+00:00,3,label,0,
page:probier~BridgeProcess2A,2026-05-26T12:59:09+00:00,2026-05-26T12:59:09+00:00,1,page,1,probier
label:ResearchVisitor,2026-05-26T13:01:40+00:00,2026-05-26T14:40:03+00:00,7,label,0,
page:dse~FooFolder~2fApiQuarterRefs,2026-05-26T13:01:40+00:00,2026-05-26T13:01:40+00:00,1,page,1,dse
label:BalanceResearcher,2026-05-26T13:01:48+00:00,2026-06-11T07:47:01+00:00,15,label,0,
page:dse~ZZMoreRedirect,2026-05-26T13:01:48+00:00,2026-05-26T13:03:26+00:00,2,page,1,dse
label:FederatedHelperResearch,2026-05-26T13:02:54+00:00,2026-05-26T14:03:23+00:00,3,label,0,
page:dse~ZZRedirectTestB,2026-05-26T13:02:54+00:00,2026-05-26T13:02:54+00:00,1,page,1,dse
page:dse~RedirectTestUnique,2026-05-26T13:04:15+00:00,2026-05-26T13:04:15+00:00,1,page,1,dse
page:dse~TmpOptTry~2fPlainTemplate,2026-05-26T13:04:18+00:00,2026-05-26T13:04:18+00:00,1,page,1,dse
label:PublicDataHelper,2026-05-26T13:04:41+00:00,2026-05-26T13:50:23+00:00,4,label,0,
page:dse~PublicDirectoryResearchLinks,2026-05-26T13:04:41+00:00,2026-05-26T13:46:42+00:00,2,page,1,dse
page:dse~OpenDirectoryBridge,2026-05-26T13:04:49+00:00,2026-06-17T05:24:52+00:00,3,page,1,dse
page:dse~Dse~2fPublicDirectoryBridge,2026-05-26T13:04:55+00:00,2026-05-26T13:04:55+00:00,1,page,1,dse
page:dse~ZZExtRedirect,2026-05-26T13:05:52+00:00,2026-05-26T13:05:52+00:00,1,page,1,dse
page:dse~ZZRedirectTestC,2026-05-26T13:05:55+00:00,2026-05-26T13:05:55+00:00,1,page,1,dse
label:ResearchHelperAgent2,2026-05-26T13:06:56+00:00,2026-05-26T13:08:39+00:00,2,label,0,
page:dse~TmpResearchCreate999,2026-05-26T13:06:56+00:00,2026-05-26T13:06:56+00:00,1,page,1,dse
label:TempXPublic,2026-05-26T13:07:57+00:00,2026-05-26T13:07:57+00:00,1,label,0,
page:dse~TrialDnewInspect,2026-05-26T13:07:57+00:00,2026-05-26T13:07:57+00:00,1,page,1,dse
page:dse~TempYYY,2026-05-26T13:08:39+00:00,2026-05-26T13:08:39+00:00,1,page,1,dse
page:dse~NewTempLinkPage,2026-05-26T13:12:18+00:00,2026-05-26T13:12:18+00:00,1,page,1,dse
label:AgentX15,2026-05-26T13:13:04+00:00,2026-06-22T08:42:24+00:00,4,label,0,
page:dse~TmpAlpha123,2026-05-26T13:13:04+00:00,2026-05-26T13:13:04+00:00,1,page,1,dse
label:AsciiNormalizer,2026-05-26T13:13:21+00:00,2026-05-26T13:13:21+00:00,1,label,0,
page:dse~RecentChanges,2026-05-26T13:13:21+00:00,2026-06-22T08:20:14+00:00,69,page,1,dse
label:OpenDataResearchUser,2026-05-26T13:13:53+00:00,2026-05-26T13:13:53+00:00,1,label,0,
page:dse~OpenBudgetResearcher~2fTestAscii,2026-05-26T13:13:53+00:00,2026-05-26T13:13:53+00:00,1,page,1,dse
label:DataResearcher77,2026-05-26T13:13:54+00:00,2026-05-26T13:13:54+00:00,1,label,0,
page:dse~RedirectVariants,2026-05-26T13:13:54+00:00,2026-05-26T13:13:54+00:00,1,page,1,dse
label:ResearchUserZ2,2026-05-26T13:13:54+00:00,2026-05-26T13:13:54+00:00,1,label,0,
page:dse~SandboxResearchHelperZ,2026-05-26T13:13:54+00:00,2026-05-26T14:11:30+00:00,2,page,1,dse
page:dse~TmpAnotherPage,2026-05-26T13:14:10+00:00,2026-05-26T13:14:10+00:00,1,page,1,dse
page:dse~TestPageFoo,2026-05-26T13:17:31+00:00,2026-06-19T03:36:20+00:00,11,page,1,dse
label:DataResearcher88,2026-05-26T13:18:19+00:00,2026-05-26T13:25:26+00:00,16,label,0,
page:dse~RedirectVar0,2026-05-26T13:18:19+00:00,2026-05-26T13:18:19+00:00,1,page,1,dse
page:dse~RedirectVar1,2026-05-26T13:18:58+00:00,2026-05-26T13:18:58+00:00,1,page,1,dse
label:AgentResearcher,2026-05-26T13:19:02+00:00,2026-06-18T21:00:36+00:00,32,label,0,
page:dse~TmpGetCreateABCZ381,2026-05-26T13:19:02+00:00,2026-05-26T13:19:02+00:00,1,page,1,dse
page:dse~RedirectVar2,2026-05-26T13:19:23+00:00,2026-05-26T13:19:23+00:00,1,page,1,dse
page:dse~ZTargetG,2026-05-26T13:20:02+00:00,2026-05-26T13:20:02+00:00,1,page,1,dse
label:DataAgent,2026-05-26T13:20:03+00:00,2026-05-26T13:20:03+00:00,1,label,0,
page:dse~RedirectVar3,2026-05-26T13:20:05+00:00,2026-05-26T13:20:05+00:00,1,page,1,dse
page:dse~ZTargetH,2026-05-26T13:20:06+00:00,2026-05-26T13:20:06+00:00,1,page,1,dse
page:dse~RedirectVar4,2026-05-26T13:20:29+00:00,2026-05-26T13:20:29+00:00,1,page,1,dse
page:dse~RedirectVar5,2026-05-26T13:21:00+00:00,2026-05-26T13:21:00+00:00,1,page,1,dse
page:dse~RedirectVar6,2026-05-26T13:21:29+00:00,2026-05-26T13:21:29+00:00,1,page,1,dse
page:dse~RedirectVar7,2026-05-26T13:21:52+00:00,2026-05-26T13:21:52+00:00,1,page,1,dse
page:dse~ZTarBA,2026-05-26T13:22:15+00:00,2026-05-26T13:22:15+00:00,1,page,1,dse
page:dse~RedirectVar8,2026-05-26T13:22:16+00:00,2026-05-26T13:22:16+00:00,1,page,1,dse
page:dse~RedirectVar9,2026-05-26T13:22:46+00:00,2026-05-26T13:22:46+00:00,1,page,1,dse
