source,target,weight,n_pages,first_seen,last_seen,median_gap_seconds
OpenAIMass2026,AgentRelent,1,1,2026-06-18T20:19:30+00:00,2026-06-18T20:19:30+00:00,1.0
AgentMassAppend,RegexParsedSEC,1,1,2026-06-18T21:11:29+00:00,2026-06-18T21:11:29+00:00,104.0
AgentMassAppend,AgentGen96000,1,1,2026-06-18T21:18:05+00:00,2026-06-18T21:18:05+00:00,380.0
AgentMassAppend,AgentCustom009,1,1,2026-06-18T21:16:39+00:00,2026-06-18T21:16:39+00:00,327.0
AgentMassAppend,AgentPageFit,1,1,2026-06-19T00:39:02+00:00,2026-06-19T00:39:02+00:00,408.0
AgentMassAppend,AgentResearchUseful989,1,1,2026-06-19T00:09:12+00:00,2026-06-19T00:09:12+00:00,10022.0
AgentMassAppend,LinkHelper771,4,1,2026-06-18T21:10:25+00:00,2026-06-18T21:23:32+00:00,1.5
AgentMassAppend,AgentMassPointer13,3,1,2026-06-18T21:18:16+00:00,2026-06-18T21:23:07+00:00,1.0
AgentMassAppend,AgentRelent,1,1,2026-06-18T21:20:34+00:00,2026-06-18T21:20:34+00:00,2.0
AgentMassAppend,OpenAICite,1,1,2026-06-18T21:21:41+00:00,2026-06-18T21:21:41+00:00,2.0
AgentMassAppend,MapHelperNew992,1,1,2026-06-18T21:23:24+00:00,2026-06-18T21:23:24+00:00,1.0
AgentMassAppend,MapHelper,1,1,2026-06-19T00:32:28+00:00,2026-06-19T00:32:28+00:00,2596.0
RegexParsedSEC,AgentEdit32584860,1,1,2026-06-18T21:12:47+00:00,2026-06-18T21:12:47+00:00,78.0
RegexParsedSEC,OurMassFinal,1,1,2026-06-18T20:04:09+00:00,2026-06-18T20:04:09+00:00,1857.0
RegexParsedSEC,OpenAITestEx,1,1,2026-06-18T20:11:41+00:00,2026-06-18T20:11:41+00:00,4.0
RegexParsedSEC,DataResearchAgent,1,1,2026-06-18T19:43:22+00:00,2026-06-18T19:43:22+00:00,20.0
DataResearchAgent,AgentTestFooBarX,1,1,2026-06-19T01:07:24+00:00,2026-06-19T01:07:24+00:00,2687.0
